STATION,LATITUDE,LONGITUDE,ALTIUDE,NAME
58139,33.30 ,118.85 ,19.6 ,洪泽
58140,33.78 ,119.27 ,10.2 ,涟水
58141,33.67 ,119.03 ,14.5 ,淮阴县
58143,33.80 ,119.80 ,3.1 ,阜宁
58144,33.60 ,119.03 ,18.6 ,淮阴（清江）
58145,33.53 ,119.17 ,8.3 ,淮安
58146,33.48 ,119.82 ,3.4 ,建湖
58147,33.03 ,119.03 ,10.9 ,金湖
58148,33.23 ,119.30 ,8.4 ,宝应
58150,33.77 ,120.25 ,6.7 ,射阳
58151,33.38 ,120.13 ,3.4 ,盐城
58154,33.38 ,120.15 ,3.1 ,盐城郊区
58158,33.20 ,120.48 ,7.3 ,大丰
58202,32.63 ,115.58 ,35.7 ,阜南
58203,32.92 ,115.82 ,38.6 ,阜阳
58205,32.45 ,115.42 ,34.8 ,淮滨
58207,32.15 ,115.03 ,42.9 ,潢川
58208,32.17 ,115.67 ,57.9 ,固始
58210,32.57 ,116.22 ,25.5 ,颍上
58212,32.72 ,116.70 ,27.3 ,凤台
58214,32.33 ,116.28 ,36.9 ,霍邱
58215,32.55 ,116.78 ,23.5 ,寿县
58220,32.47 ,117.15 ,30.0 ,长丰
58221,32.95 ,117.38 ,26.0 ,蚌埠
58222,32.87 ,117.55 ,28.0 ,凤阳
58223,32.78 ,117.98 ,35.6 ,加山
58224,32.65 ,117.02 ,36.9 ,淮南
58225,32.53 ,117.67 ,76.7 ,定远
58230,32.10 ,118.27 ,38.2 ,全椒
58234,32.45 ,118.42 ,46.4 ,来安
58235,32.35 ,118.83 ,14.1 ,六合
58236,32.30 ,118.30 ,32.9 ,滁县
58237,32.05 ,118.62 ,9.8 ,江浦
58238,32.00 ,118.80 ,12.5 ,南京
58239,32.38 ,119.40 ,11.1 ,邗江
58240,32.68 ,119.02 ,21.0 ,天长
58241,32.80 ,119.45 ,10.0 ,高邮
58242,32.28 ,119.17 ,14.9 ,仪征
58243,32.93 ,119.83 ,7.3 ,兴化
58244,32.45 ,119.57 ,10.3 ,江都
58245,32.42 ,119.42 ,14.7 ,扬州
58246,32.50 ,119.93 ,6.6 ,泰州
58247,32.25 ,119.82 ,5.8 ,扬中
58248,32.25 ,119.47 ,26.0 ,镇江
58249,32.20 ,120.00 ,7.0 ,泰兴
58250,32.52 ,120.15 ,6.3 ,泰县
58251,32.87 ,120.32 ,5.1 ,东台
58252,32.18 ,119.47 ,28.8 ,丹徒
58254,32.53 ,120.45 ,5.2 ,海安
58255,32.38 ,120.57 ,5.8 ,如皋
58257,32.00 ,120.27 ,8.5 ,靖江
58259,32.02 ,120.85 ,5.8 ,南通
58264,32.33 ,121.18 ,4.6 ,如东
